CO_PROCEDIMENTO,Descricao,ValorTUNEP
408060140,RESSECCAO DO FASCIA PLANTAR,"613,62"
408060549,TRANSPOSICAO MUSCULAR,"374,87"
408060441,TENOLISE,"470,52"
408010223,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO O,"1.050,70"
408010193,TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXA,"859,40"
408060085,RESSECCAO DA BOLSA SINOVIAL DO COTOVELO (OLECRANIO,"803,75"
408060670,TRATAMENTO CIRURGICO DE RETRACAO MUSCULAR AO NIVE,"1.284,63"
408040254,"TRATAMENTO CIRURGICO DA ASSOCIACAO DE FRATURA, LUX ","1.815,65"
408040262,"TRATAMENTO CIRURGICO DA ASSOCIACAO DE FRATURA, LUX ","1.815,65"
408040327,TRATAMENTO CIRURGICO DA LUXACAO COXO FEMORAL CO,"2.384,76"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"819,18"
408060166,RESSECCAO DO(S) OSSO(S) DO PE,"728,00"
408060204,REINSERCAO MUSCULAR,"355,76"
408060395,RETIRADA DE PROTESE DE SUBSTITUICAO EM PEQUENAS E M,"664,49"
211070106,OSTEOTOMIA DA COLUNA VIA ANTERIOR UM OU DOIS NIVEIS,"2.641,52"
301070032,TRATAMENTO CIRURGICO DA FRATURA DA EXTREMIDADE PR,"1.470,35"
408020334,TRATAMENTO CIRURGICO DA FRATURA DA EXTREMIDADE PR,"1.470,35"
301070032,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"938,63"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"938,63"
211070300,REDUCAO INCRUENTA DA(S) FRATURA(S) DO (S) OSSO(S) DO,"441,00"
408020172,REDUCAO INCRUENTA DA(S) FRATURA(S) DO (S) OSSO(S) DO,"441,00"
301070016,CAPSULECTOMIA DAS ARTICULACOES DA MAO,"455,53"
408060131,CAPSULECTOMIA DAS ARTICULACOES DA MAO,"455,53"
301070016,TRATAMENTO CIRURGICO DA OSTEOMIELITE DA PELVE,"1.442,60"
408040335,TRATAMENTO CIRURGICO DA LUXACAO COXO FEMORAL (TRA,"2.384,76"
408050624,TRATAMENTO CIRURGICO DE FRATURA SUPRACONDILEANA (,"1.790,83"
408050390,TRANSFERENCIA OU TRANSPOSICAO MUSCULAR OU TENDIN,"1.181,00"
408050500,TRATAMENTO CIURGICO DE FRATURA DA DIAFISE DA TIBIA,"1.780,00"
408050578,TRATAMENTO CIRURGICO DA FRATURA DO TORNOZELO UNIM,"884,82"
408050080,FASCIOTOMIAS,"355,76"
408060476,TENOPLASTIA OU ENXERTO DE TENDAO,"847,00"
408050306,REIMPLANTE AO NIVEL DA COXA ATE O TERCO PROXIMAL DA,"4.306,96"
401010015,CURATIVO CIRURGICO SOB ANESTESIA SUBSEQUENTE A TRA,"52,50"
408020245,REDUCAO INCRUENTA DA DA LUXACAO OU FRATURA-LUXACA,"187,67"
408040203,"REDUCAO INCRUENTA DE FRATURA, LUXACAO, FRATURA-LUX ","446,85"
408050489,TRATAMENTO CIRURGICO DA FRATURA DO COLO DO FEMUR,"1.790,83"
408060573,TRATAMENTO CIRURGICO DO DEDO EM MARTELO OU EM GAR,"569,95"
408060450,MIORRAFIA,"355,76"
408060450,TENORRAFIA,"454,52"
408060360,RETIRADA DE FIXADOR EXTERNO,"265,42"
408050314,REIMPLANTE DO TERCO MEDIO DA PERNA ATE O PE,"4.306,96"
408060565,TRATAMENTO CIRURGICO DE ARTRITE INFECCIOSA DAS PEQ,"469,72"
408060123,EXPLORACAO OU TOALETE ARTICULAR COM OU SEM SINOVE,"451,38"
408020369,TRATAMENTO CIRURGICO DE FRATURA OU DESLOCAMENTO,"1.058,50"
408020423,TRATAMENTO CIRURGICO DA FRATURA DIAFISARIA DOS OSS,"1.446,62"
408020105,FASCIOTOMIA PALMAR,"677,93"
408040181,REDUCAO INCRUENTA DA LUXACAO CONGENITA COXO FEMO,"426,55"
408050632,TRATAMENTO CIRURGICO DA FRATURA TRANSTROCANTERIA,"1.790,83"
408050527,TRATAMENTO CIRURGICO DE FRATURA DA PATELA POR FIXA,"1.247,92"
408050497,TRATAMENTO CIRURGICO DA FRATURA BIMALEOLAR OU TRIM,"884,82"
408060468,TENO-MIOTOMIA UNICA,"438,34"
408060344,RETIRADA DE OUTROS MATERIAIS USADOS COMO SINTESE C,"265,42"
408020253,REIMPLANTE DO OMBRO ATE O TERCO MEDIO DO ANTEBRAC,"4.306,96"
408060557,TRATAMENTO CIRURGICO DE ARTRITE INFECCIOSA DAS GRA,"735,35"
408010053,ARTROPLASTIA DA ESCAPULO-UMERAL TOTAL,"1.036,23"
408020547,TRATAMENTO CIRURGICO DE LUXACAO E FRATURA-LUXACA,"803,75"
408020431,TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DA ULNA,"913,53"
408020067,ARTROPLASTIA DO PUNHO,"812,05"
408060131,EXPLORACAO OU TOALETE ARTICULAR COM OU SEMSINOVEC,"742,72"
408040190,REDUCAO INCRUENTA DA LUXACAO COXO FEMORAL TRAUMA,"446,85"
408050683,TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXACA,"1.247,92"
408050462,TRATAMENTO CIRURGICO DA FRATURA DO(S) METATARSIAN,"629,76"
408060549,TRANSPOSICAO DE TENDAO OU TRANSFERENCIA MIOTENDIN,"772,26"
408020261,REIMPLANTE DO TERCO DISTAL DO ANTEBRACO ATE OS MET,"4.306,96"
408060620,TRATAMENTO CIRURGICO DE INFECCAO EM ARTROPLASTIA D,"1.073,36"
408030232,"TRATAMENTO CIRURGICO DE FRATURA, LUXACAO OU FRATU ","1.746,75"
408010037,ARTROPLASTIA DA ESCAPULO-UMERAL NAO CONVENCIONAL,"1.164,78"
408020385,TRATAMENTO CIRURGICO DA FRATURA SUPRA-CONDILIANA,"1.470,35"
408020229,REDUCAO INCRUENTA DE LUXACAO E FRATURA-LUXACAO DO,"440,79"
408020601,TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE ESCAFOIDE,"812,05"
408060492,TRANSPOSICAO DO DEDO,"1.222,18"
408060506,TRANSPOSICAO DO DEDO,"1.222,18"
408040270,"TRATAMENTO CIRURGICO DE FRATURA, LUXACAO OU FRATU ","732,40"
303090200,TRATAMENTO CONSERVADOR DA FRATURA DO ACETABULO,"426,55"
408050128,REALINHAMENTO DOMECANISMO EXTENSOR POR PROCEDIM,"1.024,37"
408050217,"REDUCAO INCRUENTA DA FRATURA, LUXACAO OU FRATURA- ","446,85"
408050454,TRATAMENTO CIRURGICO DA FRATURA DO OSSOS DO MEDIO,"645,89"
408020288,REIMPLANTE OU REVASCULARIZACAO DO POLEGAR,"855,63"
408060611,TRATAMENTO CIRURGICO DE INFECCAO EM ARTROPLASTIA D,"586,97"
408060069,ARTROPLASTIA DA ESCAPULO-UMERAL DE RESSECCAO,"633,76"
408020431,TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DO RADIO,"913,53"
408020512,TRATAMENTO CIRURGICO DA LUXACAO OU FRATURA-LUXACA,"788,71"
408040300,TRATAMENTO CIRURGICO DE FRATURA DO SACRO,"732,40"
408040092,ARTROPLASTIA TOTAL DO QUADRIL NAO CIMENTADA OU HIBR,"2.581,01"
408050810,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","1.740,16"
408050667,TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAM,"856,44"
408050861,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","1.780,00"
408060530,TRANSPOSICAO DE TENDAO OU TRANSFERENCIA MIOTENDIN,"606,43"
408020270,REIMPLANTE OU REVASCULARIZACAO AO NIVEL DA MAO E OU,"627,97"
408060107,DIAFISECTOMIA DE OSSOS LONGOS,"751,36"
408030623,REVISAO DE ARTRODESE OU TRATAMENTO CIRURGICO DE P,"2.641,52"
408030631,REVISAO DE ARTRODESE OU TRATAMENTO CIRURGICO DE P,"2.641,52"
408010061,ARTROPLASTIA ESCAPULO-UMERAL DE REVISAO,"998,97"
408020571,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","1.268,79"
408020458,TRATAMENTO CIRURGICO DE FRATURA-LUXACAO DE GALEAZ,"909,64"
303090197,TRATAMENTO CONSERVADOR DE FRATURAS INTERESSANDO,"426,55"
408040297,TRATAMENTO CIRURGICO DA FRATURA DO ACETABULO,"2.384,76"
408050896,TRATAMENTO CIRURGICO DA ROTURA DE MENISCO- MENISC,"897,87"
408050470,TRATAMENTO CIRURGICO DA FRATURA DO(S) PODODACTILO,"629,76"
408060085,RESSECCAO DE BURSA -BURSECTOMIA,"160,11"
408060492,TRANSPLANTE DO HALUX PARA O POLEGAR,"2.416,45"
408010061,ARTROPLASTIA ESCAPULO-UMERAL DE RECONSTRUCAO (EN,"1.195,51"
408020164,REDUCAO INCRUENTA DE FRATURA DO EXTREMO PROXIMAL,"446,85"
408020342,"TRATAMENTO CIRURGICO DE FRATURA DAS FALANGES, COM ","439,33"
303090138,TRATAMENTO CONSERVADOR DA FRATURAS E ARRANCAMEN,"426,55"
408040084,ARTROPLASTIA TOTAL DO QUADRIL CIMENTADA,"2.384,76"
408050250,REDUCAO INCRUENTA DE FRATURA DO JOELHO,"343,65"
408050918,TRATAMENTO CIRURGICO DO HALUX VALGUS SEM OSTEOTO,"694,49"
408060506,TRANSPLANTE DO o. PODODACTILIO PARA O POLEGAR OU P,"2,00"
408010231,CIRURGIA DESCOMPRESSIVA AO NIVEL DA ESCAPULO-UMERA,"517,56"
408020199,REDUCAO INCRUENTA DE FRATURA DA DIAFISE DO UMERO,"427,06"
408020563,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","1.168,37"
408050268,REDUCAO INCRUENTA DE LUXACAO OU FRATURA-LUXACAO D,"343,65"
408050225,REDUCAO INCRUENTA DA FRATURA DA TIBIA,"343,65"
408050250,REDUCAO INCRUENTA DA FRATURA DA TIBIA,"343,65"
408050713,TRATAMENTO CIRURGICO DA LUXACAO OU FRATURA-LUXACA,"455,16"
303090235,"TRATAMENTO CONSERVADOR DA FRATURA DA COLUNA, COM ","902,50"
408010010,ARTRODESE ESCAPULO-TORACICA,"621,09"
408010169,TRATAMENTO CIRURGICO DA FRATURA DO COLO E CAVIDAD,"663,51"
408020156,REDUCAO INCRUENTA DA FRATURA SUPRACONDILIANA DO U,"343,65"
408020636,TRATAMENTO CIRURGICO DA SINOSTOSE RADIO ULNAR,"844,94"
408020032,ARTRODESE ENTRE OS OSSOS DO PUNHO (INTRA-CARPICA),"387,07"
408020377,TRATAMENTO CIRURGICO DA FRATURA DOS METACARPIANO,"439,33"
408050667,TRATAMENTO CIRURGICO DE LESAO LIGAMENTAR AGUDA DO,"907,03"
408050705,TRATAMENTO CIRURGICO DA LUXACAO OU FRATURA-LUXACA,"471,29"
303090243,"TRATAMENTO CONSERVADOR DA FRATURA DA COLUNA, SEM ","902,50"
701030135,"TRATAMENTO CONSERVADOR DA FRATURA DA COLUNA, SEM ","902,50"
408010100,RESSECCAO DA ESCAPULA,"1.986,55"
701030038,RESSECCAO DA ESCAPULA,"1.986,55"
408020334,TRATAMENTO CIRURGICO DE ESCORREGAMENTO EPIFISARIO,"684,08"
701030046,TRATAMENTO CIRURGICO DE ESCORREGAMENTO EPIFISARIO,"684,08"
408060069,ARTROPLASTIA DO COTOVELO DE RESSECCAO COM OU SEM,"472,15"
701030062,ARTROPLASTIA DO COTOVELO DE RESSECCAO COM OU SEM,"472,15"
408020130,REPARO LIGAMENTAR AO NIVEL DO CARPO( DA RADIO-ULNAR,"387,07"
408020482,REPARO LIGAMENTAR AO NIVEL DO CARPO( DA RADIO-ULNAR,"387,07"
701030089,REPARO LIGAMENTAR AO NIVEL DO CARPO( DA RADIO-ULNAR,"387,07"
408020326,ABERTURA DE POLIA SINOVIAL DE BAINHA TENDINOSA,"423,13"
701030097,ABERTURA DE POLIA SINOVIAL DE BAINHA TENDINOSA,"423,13"
408040165,RECONSTRUCAO OSTEOPLASTICA DO QUADRIL,"2.969,77"
701030119,RECONSTRUCAO OSTEOPLASTICA DO QUADRIL,"2.969,77"
408050233,REDUCAO INCRUENTA DA FRATURA DO FEMUR,"446,85"
408050250,REDUCAO INCRUENTA DA FRATURA DO FEMUR,"446,85"
701030011,REDUCAO INCRUENTA DA FRATURA DO FEMUR,"446,85"
408050691,TRATAMENTO CIRURGICO DA LUXACAO OU FRATURA-LUXACA,"455,16"
408010118,OSTEOTOMIA DE CLAVICULA OU DA ESCAPULA,"497,47"
701030186,OSTEOTOMIA DE CLAVICULA OU DA ESCAPULA,"497,47"
408020164,REDUCAO INCRUENTA DO DESLOCAMENTO EPIFISARIO PROX,"290,48"
701030194,REDUCAO INCRUENTA DO DESLOCAMENTO EPIFISARIO PROX,"290,48"
408020059,ARTROPLASTIA DO COTOVELO PARCIAL (CABECA DO RADIO),"494,66"
701030216,ARTROPLASTIA DO COTOVELO PARCIAL (CABECA DO RADIO),"494,66"
408020202,REDUCAO INCRUENTA DAS FRATURAS DO CUBITO,"202,04"
701030224,REDUCAO INCRUENTA DAS FRATURAS DO CUBITO,"202,04"
408020644,CIRURGIA DE CENTRALIZACAO DO PUNHO,"431,25"
701030232,CIRURGIA DE CENTRALIZACAO DO PUNHO,"431,25"
408060638,TRATAMENTO CIRURGICO DA LUXACAO E FRATURA-LUXACAO,"423,13"
701030240,TRATAMENTO CIRURGICO DA LUXACAO E FRATURA-LUXACAO,"423,13"
408040122,EPIFISIODESE DO TROCANTER MAIOR DO FEMUR,"1.200,49"
701030160,EPIFISIODESE DO TROCANTER MAIOR DO FEMUR,"1.200,49"
408050063,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,"1.885,95"
701030178,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,"1.885,95"
408050039,ARTRODESE DO TORNOZELO ENTRE A TIBIA E OUTROS OSSO,"655,87"
408010096,"ESCAPULOPEXIA COM OU SEM OSTEOTOMIA DA ESCAPULA, ","2.800,47"
408020083,ARTROPLASTIA DO COTOVELO DE REVISAO,"704,50"
408020202,REDUCAO INCRUENTA DA FRATURA DO RADIO,"440,79"
408020440,TRATAMENTO CIRURGICO DO DESCOLAMENTO EPIFISARIO D,"351,79"
408020539,TRATAMENTO CIRURGICO DA LUXACAO E FRATURA-LUXACAO,"423,13"
408050888,TRATAMENTO CIRURGICO DA ROTURA DE MENISCO - SUTURA,"897,87"
408050365,EXCISAO DO TALUS,"469,72"
408050764,TRATAMENTO CIRURGICO DO PE TORTO CONGENITO,"1.013,60"
408010100,"OSTECTOMIA, EXCISAO, CURETAGEM DA CLAVICULA (ACROM ","497,47"
408060581,TRATAMENTO CIRURGICO DE RETRACAO CAPSULO-LIGAMEN,"472,15"
408020202,REDUCAO INCRUENTA DA FRATURA DOS OSSOS DO ANTEBR,"440,79"
408020598,TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE NA REGIAO,"401,26"
303090200,TRATAMENTO CONSERVADOR DA FRATURA DA DIAFISE DO F,"426,55"
408060123,EXCISAO DE CISTO SINOVIAL NO ESPACO POPLITEO (CISTO D,"485,73"
408060450,TRATAMENTO CIRURGICO DA ROTURA DO TENDAO DE AQUIL,"443,07"
408050780,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","778,16"
408030771,TRATAMENTO CIRURGICO DESCOMPRESSIVO AO NIVEL DO,"568,00"
408060468,TENOTOMIA OU MIOTOMIA OU DESINSECAO MUSCULAR AO N,"472,15"
408020180,REDUCAO INCRUENTA DA FRATURA-LUXACAO DE MONTEGGI,"440,79"
408060174,"OSTECTOMIA, CURETAGEM OU EXCISAO DE LESAOAO NIVEL ","349,65"
408020555,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","710,33"
408040025,ARTRODESE DA SINFISE PUBICA,"1.373,66"
408040076,ARTROPLASTIA DE REVISAO DO QUADRIL,"2.803,80"
408060115,ENCURTAMENTO DOS OSSOS DA PERNA,"1.074,99"
408050322,REPARO DE BAINHA TENDINOSA AO NIVEL DO TORNOZELO,"373,28"
408050209,REDUCAO INCRUENTA DA FRATURA DO(S) METATARSIANO(S),"427,06"
408020130,RECONSTRUCAO CAPSULO-LIGAMENTOSOTRANSFERENCIA O,"472,15"
408020482,RECONSTRUCAO CAPSULO-LIGAMENTOSOTRANSFERENCIA O,"472,15"
408020504,TRATAMENTO CIRURGICO DE LESAO EM EVOLUCAO DE QU,"401,26"
408040149,OSTECTOMIA AO NIVEL DA PELVE,"1.373,66"
408040068,ARTROPLASTIA TOTAL DE CONVERSAO (POS-ARTRODESE),"3.353,16"
408050055,"ARTROPLASTIA DE REVISAO (CONDILAR, DO PLANALTO TIBIA ","2.803,82"
408050411,TRANSPOSICAO DA FIBULA PARA A TIBIA,"1.074,99"
408060018,ALONGAMENTO OU ENCURTAMENTO TENDINOSO NO TORNO,"446,13"
408050241,REDUCAO INCRUENTA DE FRATURA DO(S) OSSO(S) DO TARS,"200,27"
408020091,EXCISAO DO OLECRANO OU DA CABECA DO RADIO,"494,66"
408020105,FASCIOTOMIA DESCOMPRESSIVA AO NIVEL DO PUNHO,"349,65"
408020210,REDUCAO INCRUENTA DE FRATURA DO(S) METACARPIANO(S,"187,67"
408030470,DRENAGEM CIRURGICA DO PSOAS,"522,87"
408040076,ARTROPLASTIA DE RECONSTRUCAO DO QUADRIL,"3.111,54"
303090200,TRATAMENTO CONSERVADOR DA FRATURA DA EXTREMIDAD,"426,55"
408050055,ARTROPLASTIA TOTAL DE RECONSTRUCAO (REQUER ENXER,"2.978,13"
408060590,TRATAMENTO CIRURGICO DA FRATURA VICIOSAMENTE CONS,"1.047,55"
408020504,TRATAMENTO CIRURGICO DE LESAO EM EVOLUCAO DE QU,"494,66"
408020300,TENOSSINOVECTOMIA OU TENOLISE AO NIVEL DO PUNHO,"341,06"
408040246,TRATAMENTO CIRURGICO DE AVULSOES DE TUBEROSIDADES,"342,98"
408060069,ARTROPLASTIA DE RESSECCAO DA CABECA FEMORAL,"2.125,74"
408050047,ARTROPLASTIA NAO CONVENCIONAL TOTAL DE JOELHO,"2.803,82"
408060174,"RESSECCAO DA DIAFISE, EPIFISE E METAFISE DE TIBIA ","1.047,55"
408050373,TENOSSINOVECTOMIA AO NIVEL DO TORNOZELO,"426,67"
408050292,REDUCAO INCRUENTA DA LUXACAO OU FRATURA-LUXACAO T,"200,27"
408060484,TENORRAFIA EM TUNEL OSTEO-FIBROSO AO NIVEL DO PUNH,"1.043,32"
408030526,RESSECCAO DE COCCIX,"342,98"
408040041,ARTROPLASTIA NAO CONVENCIONAL DO QUADRIL,"2.861,72"
303090138,TRATAMENTO CONSERVADOR DA AVULSAO DO GRANDE TRO,"426,55"
408050110,QUADRICEPSPLASTIA: MIO-TENO-CAPSULO-FASCIOLISE AO N,"2.803,82"
408060190,OSTEOTOMIA DIAFISARIA DA TIBIA,"1.047,55"
408050608,TRATAMENTO CIRURGICO DO DESCOLAMENTO EPIFISARIO D,"657,58"
408050284,REDUCAO INCRUENTA DA LUXACAO OU FRATURA-LUXACAO S,"200,27"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"657,65"
408020350,TRATAMENTO CIRURGICO DE FRATURA OU DESLOCAMENTO,"544,99"
408060115,ENCURTAMENTO DOS OSSOS DO ANTEBRACO,"444,15"
408060131,TRATAMENTO CIRURGICO DE CISTO SINOVIAL AO NIVEL DO P,"160,11"
408060670,TRATAMENTO CIRURGICO DA CONTRATURA ISQUEMICA DE V,"802,45"
408040238,TRANSPOSICAO OU TRANFERENCIA MIO-TENDINOSO DO PSO,"1.373,66"
408040157,ACETABULOPLASTIA POR OSTEOTOMIA DO ACETABULO OU O,"2.861,72"
408050438,TRATAMENTO CIRURGICO DA AVULSAO DO GRANDE TROCAN,"1.790,83"
408060581,CORRECAO CIRURGICA DE DEFORMIDADE DO JOELHO EM FL,"673,84"
408060190,OSTEOTOMIA DISTAL DA TIBIA,"1.047,55"
408050543,TRATAMENTO CIRURGICO DA FRATURA DO PILAO TIBIAL,"815,43"
408050195,REDUCAO INCRUENTA DA LUXACAO OU FRATURA-LUXACAO,"200,27"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"657,65"
408020580,TRATAMENTO CIRURGICO DE PSEUDARTROSE AO NIVEL DOS,"866,13"
408020318,TRANSPOSICAO DA ULNA-PRO-RADIO,"641,15"
408060093,FORAGEM OU SIMILAR DA CABECA FEMORAL,"807,42"
303090138,TRATAMENTO CONSERVADOR DA AVULSAO DO PEQUENO TR,"426,55"
408060476,TRATAMENTO CIRURGICO DE ENTESOPATIA AO N/IVEL DO JO,"673,84"
408060190,OSTEOTOMIA DA FIBULA,"533,14"
408050926,TRATAMENTO CIRURGICO DE LESAO OSTEO-CONDRAL NO TO,"657,58"
408060174,"RESSECCAO DA DIAFISE, METAFISE OU EPIFISE DO UMERO ","635,16"
408020580,TRATAMENTO CIRURGICO DE PSEUDARTROSE AO NIVEL DOS,"544,99"
408020415,TRATAMENTO CIRURGICO DE FRATURA NAS EXTREMIDADES,"641,15"
408040220,REVISAO CIRURGICA DE LUXACAO COXO FEMORAL CONGENI,"3.116,80"
408050594,TRATAMENTO CIRURGICO DE DESLOCAMENTO EPIFISARIO A,"695,01"
408050608,TRATAMENTO CIRURGICO DA FRATURA DAS EXTREMIDADES,"1.047,57"
408050675,TRATAMENTO CIRURGICO DE LESAO EM EVOLUCAO DE QU,"657,58"
408060174,"OSTECTOMIA, CURETAGEM, OU EXCISAO DE LESAO DO UM ","652,02"
408020156,REDUCAO INCRUENTA DE FRATURA OU DESLOCAMENTO EP,"202,04"
408060174,"OSTECTOMIA, CURETAGEM OU EXCISAO DE LESAODO RADIO ","444,15"
408040343,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA OU PR,"2.861,72"
408050586,TRATAMENTO CIRURGICO DE FRATURA INTERCONDILEANA,"695,01"
408050870,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","1.047,57"
408050144,RECONSTRUCAO LIGAMENTAR DO TORNOZELO,"756,25"
408060190,OSTEOTOMIA DO RADIO E/OU ULNA,"650,79"
408050489,TRATAMENTO CIRURGICO DE DESCOLAMENTO EPIFISARIO PR,"1.328,99"
408050551,TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL,"695,01"
408050853,TRATAMENTO CIRURGICO DA PSEUDOARTROSE CONGENITA,"1.047,55"
408050870,TRATAMENTO CIRURGICO DE PSEUDARTROSE DISTAL DA TI,"1.047,57"
408060050,ARTRODESE CARPO-METACARPIANA (DO POLEGAR OU EM O,"337,05"
408040130,"EPIFISIODESE FEMORAL PROXIMAL ""IN SITU"" ","1.328,99"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"1.768,87"
408050420,TRATAMENTO CIRURGICO DAS DESINSERCOES DAS ESPINHA,"673,84"
408060174,"OSTECTOMIA, OSTEOSTOMIA,CURETAGEM OU EXCISAO DE ","533,14"
408060190,OSTEOTOMIA AO NIVEL DO TORNOZELO,"1.047,55"
408060174,RESSECCAO OSSEA NA EXTREMIDADE DISTAL DO RADIO,"444,15"
408020016,AMPUTACAO A NIVEL DA MAO,"337,05"
408040319,TRATAMENTO CIRURGICO DE FRATURA-LUXACAO COXO-FEM,"3.014,76"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"1.768,87"
408050136,RECONSTRUCAO DE TENDAO PATELAR OU TENDAO QUADRIC,"2.803,82"
408050080,FASCIOTOMIA DESCOMPRESSIVA DE COMPARTIMENTO DA P,"1.047,57"
408060174,"OSTECTOMIA, CURETAGEM OU EXCISAO DE LESAO NO TOR ","1.047,57"
408020490,CORRECAO CIRURGICA DE LESAO MUSCULATURA INTRINSEC,"388,66"
408040289,TRATAMENTO CIRURGICO DE FRATURA-LUXACAO COXO-FEM,"3.213,74"
408060590,CORRECAO CIRURGICA DA FRATURA VICIOSAMENTE CONSO,"1.768,87"
408050152,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELH,"1.013,06"
408060417,RETRACAO CICATRICIAL DOS DEDOS C/COMPROMETIMENTO,"359,68"
408050675,TRATAMENTO CIRURGICO DE LESAO FISARIA EM EVOLUCAO,"1.328,99"
408060174,"RESSECCAO DE EPIFISE, DIAFISE OU METAFISE DO FEMUR ","1.328,25"
408050845,TRATAMENTO CIRURGICO DE PSEUDARTROSE OU RETARDO,"695,01"
408020148,RECONSTRUCAO DE POLIA TENDINOSA COM TECIDOS LOCAI,"359,68"
408040190,REDUCAO INCRUENTA DA LUXACAO COXO FEMORAL (CENTR,"231,89"
408060190,OSTEOTOMIA DA DIAFISE DO FEMUR,"1.328,99"
408050675,TRATAMENTO CIRURGICO DE LESAO EM EVOLUCAO DE QU,"695,01"
408020121,REALINHAMENTO DO SISTEMA EXTENSOR DOS DEDOS POR D,"359,68"
408060158,MANIPULACAO DO QUADRIL SOB ANESTESIA GERAL,"260,80"
408060190,OSTEOTOMIA DA REGIAO METAFISARIA DISTAL DO FEMUR,"1.328,99"
408060174,"OSTECTOMIA, CURETAGEM, OU EXCISAO DE LESAO NO EXT ","695,01"
408060026,OSTEOPLASTIA PARA ALONGAMENTO DE OSSO METACARPIC,"451,96"
408040173,REDUCAO INCRUENTA DE LUXACAO ESPONTANEA OU PROGR,"260,80"
408060093,DESCOMPRESSAO (ESVASIAMENTO MEDULAR) POR BROCAG,"1.328,99"
408050926,ENXERTIA AUTOLOGA OSTEOCONDRAL (MOSAICOPLASTIA) O,"2.803,82"
408030089,ARTRODESE CERVICAL ANTERIOR C-C (VIA TRANS-ORAL O,"1,00"
408060182,OSTEOTOMIA PARA CORRECAO DE DEFORMIDADE DE OSSO,"451,96"
408060174,"OSTECTOMIA, OSTEOSTOMIA, CURETAGEM, SEQUESTRECTO ","1.328,99"
408050039,ARTRODESE SUBTALAR OU TALO-NVICULAR,"535,97"
408030062,ARTRODESE INTER-SOMATICA VIA ANTERIOR DISTAL A C DE,"2,00"
408020628,CORRECAO CIRURGICA DE SINDACTILA DA MAO (POR ESPAC,"337,05"
408050160,RECONSTRUCAO LIGAMENTAR INTRA -ARTICULAR DO JOELH,"1.684,13"
408050179,RECONSTRUCAO LIGAMENTAR INTRA -ARTICULAR DO JOELH,"1.684,13"
408050039,ARTRODESE TRIPLICE OU TRANSVERSA,"595,93"
408030135,ARTRODESE INTER-SOMATICA POR VIA POSTERIOR OU POST,"3.629,73"
408060646,"CORRECAO CIRURGICA DE MAO EM FENDA, DEDO BIFIDO OU ","337,05"
408050381,TRANSFERENCIA DO GRANDE TROCANTER (PROCEDIMENTO,"1.328,99"
408050403,TRANSPLANTE DE MENISCO,"2.803,82"
408050039,PAN-ARTRODESE,"655,87"
408030143,ARTRODESE INTER-SOMATICA POR VIA POSTERIOR OU POST,"3.636,54"
408030151,ARTRODESE INTER-SOMATICA POR VIA POSTERIOR OU POST,"3.636,54"
408030160,ARTRODESE INTER-SOMATICA POR VIA POSTERIOR OU POST,"3.636,54"
408060166,"OSTECTOMIA, CURETAGEM OU EXCISAO DE LESAO AO NIVE ","345,03"
408050616,TRATAMENTO CIRURGICO DA FRATURA SUB-TROCANTERIAN,"1.328,99"
408060450,SUTURA PRIMARIA DE TENDAO PATELAR OU TENDAO QUADR,"451,38"
408060077,ARTROPLASTIA ARTICULACAO METATARSO-FALANGEANA OU,"469,72"
408030178,ARTRODESE POSTERIOR OCCIPITO-CERVICAL (INCLUI INSTR,"3.342,87"
